,Unnamed: 0,molecule_chembl_id,class,canonical_smiles1,MW,LogP,NumHDonors,NumHAcceptors,pIC50
49,49,CHEMBL2418770,intermediate,FC(F)(F)c1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,358.32300000000004,4.416900000000003,1.0,4.0,5.136677139879544
50,50,CHEMBL2418769,intermediate,Fc1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)c(F)c1,326.30600000000004,3.676300000000002,1.0,4.0,5.3487219860018556
51,51,CHEMBL2418768,intermediate,c1nc2cc(-c3nnc(CCc4ccc5c(c4)OCO5)o3)ccc2[nH]1,334.33500000000004,3.126800000000001,1.0,6.0,5.576754126063192
52,52,CHEMBL2418803,inactive,COc1cccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)c1OC,350.37800000000016,3.415300000000002,1.0,6.0,5.718966632752273
53,53,CHEMBL2418802,intermediate,COc1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)c(OC)c1,350.37800000000016,3.415300000000001,1.0,6.0,5.504455662453552
54,54,CHEMBL2418801,intermediate,COc1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1OC,350.37800000000016,3.415300000000002,1.0,6.0,5.632644078973981
55,55,CHEMBL2418800,intermediate,O=S(=O)(Cc1nnc(-c2ccc3[nH]cnc3c2)o1)c1ccccc1,340.3640000000001,2.5868,1.0,6.0,5.730487055782084
56,56,CHEMBL2418799,intermediate,c1ccc(SCc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,308.36600000000004,3.9052000000000016,1.0,5.0,5.896196279044043
57,57,CHEMBL2418798,intermediate,c1ccc(OCc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,292.29800000000006,3.1919000000000004,1.0,5.0,5.368556230986828
58,58,CHEMBL2418797,inactive,c1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,290.3260000000001,3.3981000000000012,1.0,4.0,5.402304814074488
59,59,CHEMBL2418796,inactive,c1ccc(CNc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,291.3140000000001,3.2250000000000005,2.0,5.0,4.550830267834799
60,60,CHEMBL2418795,inactive,c1ccc(CCCSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,336.4200000000001,4.337800000000002,1.0,5.0,5.121478204498794
61,61,CHEMBL2418794,intermediate,c1ccc(CCSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,322.3930000000001,3.947700000000002,1.0,5.0,5.139063379299906
62,62,CHEMBL2418793,intermediate,c1ccc2cc(CSc3nnc(-c4ccc5[nH]cnc5c4)o3)ccc2c1,358.4260000000001,5.0584000000000024,1.0,5.0,5.06198090252379
63,63,CHEMBL2418792,intermediate,c1ccc(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,308.36600000000004,3.9052000000000016,1.0,5.0,5.372634143407267
64,64,CHEMBL2418791,inactive,C=CCSc1nnc(-c2ccc3[nH]cnc3c2)o1,258.30600000000004,2.891,1.0,5.0,5.140861702705469
65,65,CHEMBL2418790,inactive,CCCCCCCCSc1nnc(-c2ccc3[nH]cnc3c2)o1,330.45700000000005,5.0655000000000046,1.0,5.0,4.823908740944319
66,66,CHEMBL2418789,inactive,CCSc1nnc(-c2ccc3[nH]cnc3c2)o1,246.29500000000004,2.7249000000000008,1.0,5.0,4.8326826652518236
67,67,CHEMBL2418788,inactive,CSc1nnc(-c2ccc3[nH]cnc3c2)o1,232.26800000000003,2.3348000000000004,1.0,5.0,4.605548319173784
68,68,CHEMBL2418765,inactive,c1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)[nH]2)cc1,289.34200000000004,3.1332000000000004,2.0,3.0,5.341035157335565
69,69,CHEMBL2418764,inactive,c1ccc(CCc2nc(-c3ccc4[nH]cnc4c3)no2)cc1,290.3260000000001,3.3981000000000012,1.0,4.0,5.346787486224656
70,70,CHEMBL2418767,inactive,c1ccc(CCc2cnc(-c3ccc4[nH]cnc4c3)s2)cc1,305.406,4.471600000000002,1.0,3.0,5.296708621881338
71,71,CHEMBL2418766,inactive,c1ccc(CCc2ncc(-c3ccc4[nH]cnc4c3)s2)cc1,305.406,4.471600000000002,1.0,3.0,4.607303046740334
72,72,CHEMBL3780601,inactive,CCc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,282.295,3.433600000000002,2.0,4.0,4.429457060118103
73,73,CHEMBL3781227,inactive,Cc1cccc(-c2cc(=O)c3c(O)cc(O)cc3o2)c1,268.268,3.179620000000001,2.0,4.0,4.79317412396815
74,74,CHEMBL3780265,inactive,CCOc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,298.29400000000004,3.2699000000000016,2.0,5.0,4.847711655616943
75,75,CHEMBL3780401,inactive,COc1cccc(-c2cc(=O)c3c(O)cc(O)cc3o2)c1OC,314.29300000000006,2.8884000000000016,2.0,6.0,4.554395796726403
76,76,CHEMBL59589,intermediate,O=c1cc(-c2ccccc2F)oc2cc(O)cc(O)c12,272.231,3.0103000000000013,2.0,4.0,4.460923901207224
77,77,CHEMBL3780826,active,O=c1cc(-c2cccs2)oc2cc(O)cc(O)c12,260.27,2.932700000000001,2.0,5.0,4.815308569182401
78,78,CHEMBL3781605,inactive,Cc1ccsc1-c1cc(=O)c2c(O)cc(O)cc2o1,274.297,3.2411200000000013,2.0,5.0,4.714442690992226
79,79,CHEMBL3781389,active,Cc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)s1,274.29699999999997,3.2411200000000004,2.0,5.0,4.823908740944319
80,80,CHEMBL294878,active,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,254.24099999999999,2.871200000000001,2.0,4.0,4.3448615651886175
81,81,CHEMBL3781737,active,CN(C)c1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1,281.311,3.231600000000002,1.0,4.0,4.774690718274137
82,82,CHEMBL3780173,intermediate,O=c1cc(-c2ccncc2)oc2cc(O)ccc12,239.23,2.560600000000001,1.0,4.0,4.585026652029182
83,83,CHEMBL201747,active,COc1ccc(NC(=S)NCCCn2ccnc2)cc1OC,320.41800000000006,2.277,2.0,5.0,5.275724130399211
84,84,CHEMBL3659475,active,CCCOc1ccc(C2CNC(=O)N2c2ccc3nc[nH]c3c2)cc1,336.395,3.622600000000001,2.0,3.0,6.31695296176115
85,85,CHEMBL3659476,active,CCCOc1ccc([C@@H]2CNC(=O)N2c2ccc3nc[nH]c3c2)cc1,336.395,3.622600000000001,2.0,3.0,4.519993057042849
86,86,CHEMBL3659477,active,CCCOc1ccc([C@H]2CNC(=O)N2c2ccc3nc[nH]c3c2)cc1,336.395,3.622600000000001,2.0,3.0,6.623423042943488
87,87,CHEMBL3985410,active,O=C1NC[C@H](c2ccc(-c3ccccc3)cc2)N1c1ccc2nc[nH]c2c1,354.41300000000007,4.500800000000003,2.0,2.0,6.5951662833800615
88,88,CHEMBL3659478,active,CCCOc1ccc(C2CNC(=O)N2c2ccn3ccnc3c2)cc1,336.39500000000004,3.394000000000002,1.0,4.0,6.401209493236885
89,89,CHEMBL3659479,active,O=C1NCC(c2ccc(-c3ccccc3)cc2)N1c1ccn2ccnc2c1,354.41300000000007,4.272200000000002,1.0,3.0,6.054531414868181
90,90,CHEMBL3659480,active,CCCOc1ccc([C@H]2COC(=O)N2c2ccc3nc[nH]c3c2)cc1,337.37899999999996,4.0496000000000025,1.0,4.0,6.769551078621726
91,91,CHEMBL3659481,active,O=C1OC[C@H](c2ccc(N3CCN(c4ccccc4)CC3)cc2)N1c1ccc2nc[nH]c2c1,439.5190000000001,4.587400000000003,1.0,5.0,6.795880017344075
92,92,CHEMBL3659482,intermediate,COc1ccc([C@H]2c3ccccc3C(=O)N2c2ccc3nc[nH]c3c2)cc1OC,385.4230000000001,4.329900000000003,1.0,4.0,6.527243550682788
93,93,CHEMBL3659483,intermediate,CCCOc1ccc([C@H]2c3ccccc3C(=O)N2c2ccc3nc[nH]c3c2)cc1,383.451,5.101500000000003,1.0,3.0,6.619788758288394
94,94,CHEMBL3674613,intermediate,O=C1CC(=O)N(c2ccc3nc[nH]c3c2)C1c1cccc(F)c1F,327.29,2.888200000000001,1.0,3.0,7.066512712151295
95,95,CHEMBL3674617,intermediate,O=C1CC(=O)N(c2ccc3nc[nH]c3c2)C1c1cc(F)cc(F)c1F,345.28000000000003,3.027300000000001,1.0,3.0,7.139661993429006
96,96,CHEMBL3674616,intermediate,O=C1CC(=O)N(c2ccc3nc[nH]c3c2)C1c1ccc(N2CCOCC2)cc1,376.4160000000002,2.4466,1.0,5.0,7.13608262304214
97,97,CHEMBL3674614,intermediate,COC1=CC(=O)N(c2ccc3nc[nH]c3c2)C1c1ccc(N2CCS(=O)(=O)CC2)cc1,438.5090000000003,2.4159000000000006,1.0,6.0,6.628932137728263
98,98,CHEMBL3674615,intermediate,O=C1C=C(N2CCCCC2)C(c2ccc(N3CCOCC3)cc2)N1c1ccc2nc[nH]c2c1,443.5510000000002,3.8572000000000024,1.0,5.0,7.336299074610352
99,99,CHEMBL3642567,intermediate,Cc1ccc(CN(Cc2ccc(C)cc2)c2ccc3nc[nH]c3c2)cc1,341.4580000000001,5.3865400000000045,1.0,2.0,5.399027104313252
100,100,CHEMBL3642568,intermediate,COc1cccc(CN(Cc2cccc(OC)c2)c2ccc3nc[nH]c3c2)c1,373.456,4.786900000000004,1.0,4.0,5.437707135543525
